order_id,quantity,month,day,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_name
1,1,Jan,Thu,11,13.25,13.25,M,Classic,The Hawaiian Pizza
2,1,Jan,Thu,11,16.0,16.0,M,Classic,The Classic Deluxe Pizza
2,1,Jan,Thu,11,18.5,18.5,L,Veggie,The Five Cheese Pizza
2,1,Jan,Thu,11,20.75,20.75,L,Supreme,The Italian Supreme Pizza
2,1,Jan,Thu,11,16.0,16.0,M,Veggie,The Mexicana Pizza
2,1,Jan,Thu,11,20.75,20.75,L,Chicken,The Thai Chicken Pizza
3,1,Jan,Thu,12,16.5,16.5,M,Supreme,The Italian Supreme Pizza
3,1,Jan,Thu,12,20.75,20.75,L,Supreme,The Prosciutto and Arugula Pizza
4,1,Jan,Thu,12,16.5,16.5,M,Supreme,The Italian Supreme Pizza
5,1,Jan,Thu,12,16.5,16.5,M,Supreme,The Italian Supreme Pizza
6,1,Jan,Thu,12,12.75,12.75,S,Chicken,The Barbecue Chicken Pizza
6,1,Jan,Thu,12,12.0,12.0,S,Classic,The Greek Pizza
7,1,Jan,Thu,12,12.5,12.5,S,Supreme,The Spinach Supreme Pizza
8,1,Jan,Thu,12,12.5,12.5,S,Supreme,The Spinach Supreme Pizza
9,1,Jan,Thu,12,12.0,12.0,S,Classic,The Classic Deluxe Pizza
9,1,Jan,Thu,12,12.0,12.0,S,Veggie,The Green Garden Pizza
9,1,Jan,Thu,12,20.5,20.5,L,Classic,The Italian Capocollo Pizza
9,1,Jan,Thu,12,20.75,20.75,L,Supreme,The Italian Supreme Pizza
9,1,Jan,Thu,12,12.5,12.5,S,Supreme,The Italian Supreme Pizza
9,1,Jan,Thu,12,12.0,12.0,S,Veggie,The Mexicana Pizza
9,1,Jan,Thu,12,20.75,20.75,L,Supreme,The Spicy Italian Pizza
9,1,Jan,Thu,12,20.75,20.75,L,Veggie,The Spinach Pesto Pizza
9,1,Jan,Thu,12,12.0,12.0,S,Veggie,The Vegetables + Vegetables Pizza
10,1,Jan,Thu,13,20.25,20.25,L,Veggie,The Mexicana Pizza
10,1,Jan,Thu,13,20.75,20.75,L,Chicken,The Southwest Chicken Pizza
11,1,Jan,Thu,13,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
11,1,Jan,Thu,13,20.75,20.75,L,Chicken,The California Chicken Pizza
11,1,Jan,Thu,13,16.75,16.75,M,Chicken,The California Chicken Pizza
11,1,Jan,Thu,13,15.25,15.25,L,Classic,The Pepperoni Pizza
12,1,Jan,Thu,13,20.75,20.75,L,Chicken,The California Chicken Pizza
12,1,Jan,Thu,13,12.75,12.75,S,Chicken,The California Chicken Pizza
12,1,Jan,Thu,13,20.75,20.75,L,Chicken,The Chicken Pesto Pizza
12,1,Jan,Thu,13,16.5,16.5,M,Supreme,The Italian Supreme Pizza
13,1,Jan,Thu,13,20.25,20.25,L,Veggie,The Mexicana Pizza
14,1,Jan,Thu,13,12.0,12.0,S,Classic,The Greek Pizza
